,comments
0,He's doing great things every day guys! He's been creating more Republicans since his first day in office!
1,"The best, most honest part of his speech was when he walked out without answering any questions."
2,"Biden: This mission was a success
Comment section and like dislike ratio: I don't think so."
3,"Biden- “my fellow Americans this war is now over.”
One week later...
Biden- “we are going to war”"
4,"13 Americans dead, and the only one fired was a Marine asking for accountability."
5,There's a difference between ending a war and leaving one.
6,"He’s always so obvious reading his prompter, from his eyes and the tone in his voice"
7,"God bless you Father.
Thank you for making United States of America proud, safe and never ending."
8,"""The chief purpose of government is to protect life.  Abandon that, and you have abandoned all."" ~Thomas Jefferson"
9,"This was a chilling speech. 
If you sat long enough to hear those last 10 minutes and really listened - I think we can all agree it was time to come home. It was always going to be chaotic. ISIS attacked because they knew the airport would be packed and hectic. As soon as either group got wind of our departure things would have escalated quickly, no matter when we began evacuating. The Afghan Gov is corrupt;  telling them our plan ahead of time would be like slipping a note straight to the Taliban. "
10,"Something tells me that this is the end of one thing, and the beginning of something much worse."
11,Best speech yet till 2:13.
12,one of the many 'most important speeches of the year'... so far.
13,They should somehow drop Biden off in Afghanistan and ask him to make it to the airport by himself in 5 days.
14,"I love how other channels disable comments on videos so we don’t disrespect the greatest president ever, Jim Crow Joe"
15,Heartbreaking our soldier from Roseville came home in a casket. So very sad.
16,"Great speech , informative, direct- The ME is a boiling pot - it needs Human Rights, and accountable governance- the US have a huge leverage on many dictators- the US with. Britain and Western nations can lead the way to give hope to hundreds of millions caged in the Middle East- some many ran away in illegal migrants trails , but this does not resolve an unstable region! President Biden certainly can lead the way"
17,"Biden: ""If you don't vote for me, then you ain't Afghan""....agrees no Afghan."
18,Every day this man has contradicted the words he said the other day.
19,"Mr. President, When you enumerate all the challenges facing our nation; with you in charge, it scares the hell out of me!"
20,"Joe Biden on 6/4/20: ""It's hard to believe this has to be said, but unlike this president, I’ll do my job and take responsibility. I won’t blame others."""
21,Let’s go Brandon 👏👏👏
22,"""I need not tell you the perception around the world in parts of Afghanistan, I believe, is that things are not going well in terms of the fight against the Taliban,"" ""And there is a need, whether it is true or not, there is a need to project a different picture."" -Joe Biden during his July 23rd phone call with X President of Afghanistan Ashraf Ghani."
23,"Biden paused and returned to his notes, reminding Americans that “we are all in this together.”"
24,Excellent work Mr.President.
25,"This is a really long speech just to say ""He did it. It's not my fault."""
26,We're living in a mad world if you think this is acceptable....😭 I weep for this nation....🇺🇲
27,"""and may god protect our troops, couse we aint gonna..."""
28,We must call for a Convention of States to take back our country! Our constitution has been ignored for too long.. It's time to add new amendments to our constitution to take power back from the oligarchies that are controlling our federal government.
29,What a shame to abandon our citizens in a war zone.
30,"The real winners of the Afghan War: Lockheed Martin: 40 Billion, Raytheon: 38 Billion, Boeing: 32 Billion."
31,"""The extraordinary success of this mission was due to the incredible skill, bravely, and selfless courage...""  That's our president, guys."
32,I think this was a good speech.
33,I agree with everything he said
34,“Most popular president in American history”
35,The “Like” to “Dislike” Ratio did not disappoint!
36,"Biden: ""We ended 20 years of war in Afghanistan."" 
Americans: ""But why?"" 
Our media is so bad."
37,"We all wanted to leave, but we wanted to do it the right way. The way we departed was an utter embarrassment to our American history"
38,I thank you for this
39,He's already proved himself as the best US president of the 21st century. Thank you for ending that freaking war Joe.
40,The saddest part of this Afghanistan 20 years worth of turmoil and evacuation is all our brave soldiers who sacrificed their lives.  Whatever else that was lost doesn't even matter in comparison.
41,He may be able to say its over but in some ways its not😢we lost some beautiful strong courageous people and not every American is able to go home because of how this was done. The ones lost and left behind in the name of emergency evacuation deserve the glory and the ones that saved the others not our government leaders. The real heros and people who should remembered are those i listed.
42,"🇺🇸 Right decision 
Mr. President. 
👏👏👏👏👏👏👏"
